epiweek,year,week,season,state_fips,state_abbr,state_name,wili,ili,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,release_date,issue
202101,2021,1,2020/2021,-1,nat,nat,1.47569,1.43493,22720,1583355,3358,2414,4549,,7979,4363,3415,2022-10-07,202239
202102,2021,2,2020/2021,-1,nat,nat,1.29196,1.26364,19194,1518947,3332,2380,4056,,6402,3525,2831,2022-10-07,202239
202103,2021,3,2020/2021,-1,nat,nat,1.25191,1.21094,18353,1515597,3356,2566,4056,,5878,3311,2542,2022-10-07,202239
202104,2021,4,2020/2021,-1,nat,nat,1.10337,1.12256,16910,1506379,3367,2560,3955,,5345,2810,2240,2022-10-07,202239
202105,2021,5,2020/2021,-1,nat,nat,1.16554,1.08197,16101,1488119,3337,2636,4015,,4996,2527,1927,2022-10-07,202239
202106,2021,6,2020/2021,-1,nat,nat,1.00745,0.974818,14108,1447245,3288,2557,3736,,4103,2136,1576,2022-10-07,202239
202107,2021,7,2020/2021,-1,nat,nat,0.986987,0.907497,12602,1388655,3297,2320,3146,,3710,1922,1504,2022-10-07,202239
202108,2021,8,2020/2021,-1,nat,nat,0.862967,0.860475,13347,1551120,3318,2544,3541,,3841,1900,1521,2022-10-07,202239
202109,2021,9,2020/2021,-1,nat,nat,0.82875,0.842691,13017,1544694,3319,2773,3544,,3536,1813,1351,2022-10-07,202239
202110,2021,10,2020/2021,-1,nat,nat,0.883305,0.903419,14098,1560517,3325,3220,3811,,3785,1906,1376,2022-10-07,202239
202111,2021,11,2020/2021,-1,nat,nat,0.90874,0.939582,14580,1551754,3268,3515,3856,,3940,1909,1360,2022-10-07,202239
202112,2021,12,2020/2021,-1,nat,nat,0.948022,0.960224,15359,1599523,3242,3817,3915,,4216,2057,1354,2022-10-07,202239
202113,2021,13,2020/2021,-1,nat,nat,0.974936,0.998001,15994,1602603,3301,4116,4089,,4395,2129,1265,2022-10-07,202239
202114,2021,14,2020/2021,-1,nat,nat,1.06411,1.07813,18148,1683278,3323,4740,4692,,5062,2290,1364,2022-10-07,202239
202115,2021,15,2020/2021,-1,nat,nat,1.08168,1.10911,19177,1729037,3324,5227,4909,,5292,2364,1385,2022-10-07,202239
202116,2021,16,2020/2021,-1,nat,nat,1.10339,1.15017,19313,1679142,3290,5764,5095,,4859,2143,1452,2022-10-07,202239
202117,2021,17,2020/2021,-1,nat,nat,1.13164,1.1826,20134,1702520,3303,6335,5517,,4818,2045,1419,2022-10-07,202239
202118,2021,18,2020/2021,-1,nat,nat,1.1483,1.20847,19937,1649771,3272,6822,5403,,4620,1803,1289,2022-10-07,202239
202119,2021,19,2020/2021,-1,nat,nat,1.19144,1.25476,20373,1623653,3255,7366,5492,,4364,1843,1308,2022-10-07,202239
202120,2021,20,2020/2021,-1,nat,nat,1.24686,1.26333,21266,1683332,3233,8352,5414,,4421,1745,1334,2022-10-07,202239
202121,2021,21,2020/2021,-1,nat,nat,1.14576,1.19113,19685,1652632,3184,7953,4967,,3990,1596,1179,2022-10-07,202239
202122,2021,22,2020/2021,-1,nat,nat,1.18405,1.25152,20152,1610198,3182,8502,4856,,3978,1576,1240,2022-10-07,202239
202123,2021,23,2020/2021,-1,nat,nat,1.12999,1.14539,19188,1675241,3148,8097,4646,,3692,1528,1225,2022-10-07,202239
202124,2021,24,2020/2021,-1,nat,nat,1.19103,1.18507,19672,1659980,3107,8536,4619,,3805,1515,1197,2022-10-07,202239
202125,2021,25,2020/2021,-1,nat,nat,1.21258,1.21019,19896,1644041,3093,8514,4611,,3815,1652,1304,2022-10-07,202239
202126,2021,26,2020/2021,-1,nat,nat,1.2132,1.2128,20103,1657572,3092,8369,4757,,4006,1678,1293,2022-10-07,202239
202127,2021,27,2020/2021,-1,nat,nat,1.26708,1.32915,22376,1683488,3094,8719,5310,,4860,1978,1509,2022-10-07,202239
202128,2021,28,2020/2021,-1,nat,nat,1.38688,1.44259,25263,1751226,3103,9193,5930,,6030,2400,1710,2022-10-07,202239
202129,2021,29,2020/2021,-1,nat,nat,1.64767,1.70922,30554,1787598,3102,10372,7171,,7962,2899,2150,2022-10-07,202239
202130,2021,30,2020/2021,-1,nat,nat,1.799,1.90931,35221,1844702,3088,11144,8575,,9254,3618,2630,2022-10-07,202239
202131,2021,31,2020/2021,-1,nat,nat,1.94947,2.05205,37762,1840212,3085,11102,8901,,10547,4328,2884,2022-10-07,202239
202132,2021,32,2020/2021,-1,nat,nat,2.03512,2.15537,40069,1859035,3079,11264,10105,,11227,4556,2917,2022-10-07,202239
202133,2021,33,2020/2021,-1,nat,nat,2.19023,2.30346,42753,1856032,3071,11809,12282,,11022,4744,2896,2022-10-07,202239
202134,2021,34,2020/2021,-1,nat,nat,2.23843,2.30735,43062,1866295,3066,11982,13529,,10384,4341,2826,2022-10-07,202239
202135,2021,35,2020/2021,-1,nat,nat,2.26655,2.2523,40878,1814941,3067,11745,13057,,9562,3889,2625,2022-10-07,202239
202136,2021,36,2020/2021,-1,nat,nat,2.21303,2.21305,39438,1782067,3057,11711,12253,,9090,3738,2646,2022-10-07,202239
202137,2021,37,2020/2021,-1,nat,nat,2.04664,2.00533,36222,1806283,3095,11254,11583,,7783,3296,2306,2022-10-07,202239
202138,2021,38,2020/2021,-1,nat,nat,1.9014,1.93726,34019,1756033,3076,10928,11397,,6861,2768,2065,2022-10-07,202239
202139,2021,39,2020/2021,-1,nat,nat,1.84504,1.84254,30002,1628298,2919,10142,10065,,5638,2320,1837,2022-10-07,202239
202140,2021,40,2021/2022,-1,nat,nat,2.03726,1.96383,39606,2016770,3590,13160,13177,,7483,3206,2580,2023-10-06,202339
202141,2021,41,2021/2022,-1,nat,nat,1.94864,1.90565,37639,1975130,3580,13073,11987,,7121,2973,2485,2023-10-06,202339
202142,2021,42,2021/2022,-1,nat,nat,1.92538,1.86005,35684,1918446,3538,12494,11448,,6452,2940,2350,2023-10-06,202339
202143,2021,43,2021/2022,-1,nat,nat,1.9789,1.89307,36616,1934216,3572,12858,11881,,6669,2850,2358,2023-10-06,202339
202144,2021,44,2021/2022,-1,nat,nat,2.1334,2.08583,39986,1917029,3578,13295,14444,,6961,2918,2368,2023-10-06,202339
202145,2021,45,2021/2022,-1,nat,nat,2.25788,2.22432,44242,1989010,3601,14559,15933,,7836,3190,2724,2023-10-06,202339
202146,2021,46,2021/2022,-1,nat,nat,2.41079,2.35599,47047,1996913,3591,14735,17350,,8519,3635,2808,2023-10-06,202339
202147,2021,47,2021/2022,-1,nat,nat,2.51762,2.45722,43297,1762035,3584,14913,13394,,8173,3715,3102,2023-10-06,202339
202148,2021,48,2021/2022,-1,nat,nat,2.55244,2.56131,52671,2056405,3608,15161,17338,,11287,4880,4005,2023-10-06,202339
