weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2023-12-30T00:00:00.000,69,0.0,2023-12-30,2023,52
2021-03-20T00:00:00.000,60,0.0,2021-03-20,2021,11
2024-07-27T00:00:00.000,25,0.0,2024-07-27,2024,30
2020-08-22T00:00:00.000,60,0.0,2020-08-22,2020,34
2023-03-11T00:00:00.000,69,0.0,2023-03-11,2023,10
2025-01-18T00:00:00.000,69,0.0,2025-01-18,2025,3
2024-01-13T00:00:00.000,69,0.0,2024-01-13,2024,2
2024-03-02T00:00:00.000,69,0.0,2024-03-02,2024,9
2024-06-22T00:00:00.000,78,0.0,2024-06-22,2024,25
2023-03-18T00:00:00.000,69,0.0,2023-03-18,2023,11
2022-10-29T00:00:00.000,69,0.0,2022-10-29,2022,43
2021-05-15T00:00:00.000,60,0.0,2021-05-15,2021,19
2022-05-21T00:00:00.000,69,0.0,2022-05-21,2022,20
2022-08-13T00:00:00.000,69,0.0,2022-08-13,2022,32
2024-08-31T00:00:00.000,78,0.0,2024-08-31,2024,35
2021-06-05T00:00:00.000,60,0.0,2021-06-05,2021,22
2021-07-24T00:00:00.000,60,0.0,2021-07-24,2021,29
2024-06-15T00:00:00.000,60,0.0,2024-06-15,2024,24
2021-08-07T00:00:00.000,60,0.0,2021-08-07,2021,31
2020-11-14T00:00:00.000,60,0.0,2020-11-14,2020,46
2024-08-10T00:00:00.000,25,0.0,2024-08-10,2024,32
2023-02-18T00:00:00.000,69,0.0,2023-02-18,2023,7
2021-01-16T00:00:00.000,60,0.0,2021-01-16,2021,2
2024-06-01T00:00:00.000,27,0.0,2024-06-01,2024,22
2021-11-20T00:00:00.000,US,0.7605,2021-11-20,2021,46
2025-03-29T00:00:00.000,US,0.9054,2025-03-29,2025,13
2021-10-30T00:00:00.000,US,0.7523,2021-10-30,2021,43
2021-09-04T00:00:00.000,US,0.7643,2021-09-04,2021,35
2021-01-23T00:00:00.000,US,0.9148,2021-01-23,2021,3
2022-10-29T00:00:00.000,US,0.9186,2022-10-29,2022,43
2021-04-17T00:00:00.000,US,0.9152,2021-04-17,2021,15
2023-03-11T00:00:00.000,US,0.9438,2023-03-11,2023,10
2024-03-30T00:00:00.000,US,0.9431,2024-03-30,2024,13
2025-08-02T00:00:00.000,US,0.8979,2025-08-02,2025,31
2022-07-16T00:00:00.000,US,0.9186,2022-07-16,2022,28
2023-04-29T00:00:00.000,US,0.9485,2023-04-29,2023,17
2024-11-23T00:00:00.000,US,0.8994,2024-11-23,2024,47
2021-03-20T00:00:00.000,US,0.9155,2021-03-20,2021,11
2021-04-24T00:00:00.000,US,0.915,2021-04-24,2021,16
2022-05-07T00:00:00.000,US,0.9178,2022-05-07,2022,18
2024-03-09T00:00:00.000,US,0.9454,2024-03-09,2024,10
2025-04-19T00:00:00.000,US,0.9015,2025-04-19,2025,16
2021-10-16T00:00:00.000,US,0.7503,2021-10-16,2021,41
2022-09-24T00:00:00.000,US,0.9179,2022-09-24,2022,38
2022-04-09T00:00:00.000,US,0.9181,2022-04-09,2022,14
2024-10-19T00:00:00.000,US,0.3282,2024-10-19,2024,42
2023-01-07T00:00:00.000,US,0.9408,2023-01-07,2023,1
2022-02-05T00:00:00.000,US,0.9169,2022-02-05,2022,5
2022-12-03T00:00:00.000,US,0.9176,2022-12-03,2022,48
2020-11-21T00:00:00.000,US,0.867,2020-11-21,2020,47
2025-09-06T00:00:00.000,US,0.8747,2025-09-06,2025,36
2024-11-23T00:00:00.000,Region 1,0.9095,2024-11-23,2024,47
2024-08-10T00:00:00.000,Region 10,0.6696,2024-08-10,2024,32
2024-09-21T00:00:00.000,Region 10,0.6522,2024-09-21,2024,38
2022-11-05T00:00:00.000,Region 2,0.9249,2022-11-05,2022,44
2024-09-14T00:00:00.000,Region 2,0.4509,2024-09-14,2024,37
2022-09-03T00:00:00.000,Region 3,0.9135,2022-09-03,2022,35
2021-08-28T00:00:00.000,Region 4,0.7605,2021-08-28,2021,34
2021-12-04T00:00:00.000,Region 4,0.7523,2021-12-04,2021,48
2023-10-28T00:00:00.000,Region 4,0.9326,2023-10-28,2023,43
2023-12-16T00:00:00.000,Region 4,0.929,2023-12-16,2023,50
2024-01-20T00:00:00.000,Region 4,0.929,2024-01-20,2024,3
2020-08-29T00:00:00.000,Region 5,0.0,2020-08-29,2020,35
2022-11-12T00:00:00.000,Region 6,0.9104,2022-11-12,2022,45
2024-08-03T00:00:00.000,Region 7,0.2761,2024-08-03,2024,31
2022-06-04T00:00:00.000,Region 8,0.9333,2022-06-04,2022,22
2022-10-08T00:00:00.000,Region 8,0.9278,2022-10-08,2022,40
